BK,The Bank of New York Mellon Corp.,Financials,https://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon_Corp.
BCR,Bard (C.R.) Inc.,Health Care,https://en.wikipedia.org/wiki/Bard_(C.R.)_Inc.
BAX,Baxter International Inc.,Health Care,https://en.wikipedia.org/wiki/Baxter_International_Inc.
BBT,BB&T Corporation,Financials,https://en.wikipedia.org/wiki/BB%26T_Corporation
BDX,Becton Dickinson,Health Care,https://en.wikipedia.org/wiki/Becton_Dickinson
BBBY,Bed Bath & Beyond,Consumer,https://en.wikipedia.org/wiki/Bed_Bath_%26_Beyond
BRK.B,Berkshire Hathaway,Financials,https://en.wikipedia.org/wiki/Berkshire_Hathaway
BBY,Best Buy Co. Inc.,Consumer,https://en.wikipedia.org/wiki/Best_Buy_Co._Inc.
BIIB,Biogen Inc.,Health Care,https://en.wikipedia.org/wiki/Biogen_Inc.
BLK,BlackRock,Financials,https://en.wikipedia.org/wiki/BlackRock
HRB,Block H&R,Financials,https://en.wikipedia.org/wiki/Block_H%26R
BA,Boeing Company,Industrials,https://en.wikipedia.org/wiki/Boeing_Company
BWA,BorgWarner,Consumer,https://en.wikipedia.org/wiki/BorgWarner
BXP,Boston Properties,Real Estate,https://en.wikipedia.org/wiki/Boston_Properties
BSX,Boston Scientific,Health Care,https://en.wikipedia.org/wiki/Boston_Scientific
BMY,Bristol-Myers Squibb,Health Care,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb
AVGO,Broadcom,IT,https://en.wikipedia.org/wiki/Broadcom_Limited
BF.B,Brown-Forman Corp.,Consumer,https://en.wikipedia.org/wiki/Brown-Forman_Corp.
CHRW,C. H. Robinson Worldwide,Industrials,https://en.wikipedia.org/wiki/C._H._Robinson_Worldwide
CA,"CA, Inc.",IT,"https://en.wikipedia.org/wiki/CA,_Inc."
COG,Cabot Oil & Gas,Energy,https://en.wikipedia.org/wiki/Cabot_Oil_%26_Gas
CPB,Campbell Soup,Consumer,https://en.wikipedia.org/wiki/Campbell_Soup
COF,Capital One Financial,Financials,https://en.wikipedia.org/wiki/Capital_One_Financial
CAH,Cardinal Health Inc.,Health Care,https://en.wikipedia.org/wiki/Cardinal_Health
CBOE,CBOE Holdings,Financials,https://en.wikipedia.org/wiki/Cboe_Holdings
KMX,Carmax Inc,Consumer,https://en.wikipedia.org/wiki/Carmax_Inc
CCL,Carnival Corp.,Consumer,https://en.wikipedia.org/wiki/Carnival_Corp.
CAT,Catterpillar Inc.,Industrials,https://en.wikipedia.org/wiki/Caterpillar_Inc.
CBG,CBRE Group,Real Estate,https://en.wikipedia.org/wiki/CBRE_Group
CBS,CBS Corp.,Consumer,https://en.wikipedia.org/wiki/CBS_Corp.
CELG,Celgene Corp.,Health Care,https://en.wikipedia.org/wiki/Celgene_Corp.
CNC,Centene Corporation,Health Care,https://en.wikipedia.org/wiki/Centene_Corporation
CNP,CenterPoint Energy,Utilities,https://en.wikipedia.org/wiki/CenterPoint_Energy
CTL,CenturyLink Inc,Telecommunications,https://en.wikipedia.org/wiki/CenturyLink_Inc
CERN,Cerner,Health Care,https://en.wikipedia.org/wiki/Cerner
CF,CF Industries Holdings Inc,Materials,https://en.wikipedia.org/wiki/CF_Industries_Holdings_Inc
SCHW,Charles Schwab Corporation,Financials,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation
CHTR,Charter Communications,Consumer,https://en.wikipedia.org/wiki/Charter_Communications
CHK,Chesapeake Energy,Energy,https://en.wikipedia.org/wiki/Chesapeake_Energy
CVX,Chevron Corp.,Energy,https://en.wikipedia.org/wiki/Chevron_Corp.
CMG,Chipotle Mexican Grill,Consumer,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill
CB,Chubb Limited,Financials,https://en.wikipedia.org/wiki/Chubb_Limited
CHD,Church & Dwight,Consumer,https://en.wikipedia.org/wiki/Church_%26_Dwight
CI,CIGNA Corp.,Health Care,https://en.wikipedia.org/wiki/CIGNA_Corp.
